n	int	float
563000	15502	87056
564000	15542	80759
565000	15575	84250
566000	15668	83930
567000	15659	86903
568000	15670	80977
569000	15879	87195
570000	15740	81121
571000	15790	90173
572000	15777	84224
573000	15844	87556
574000	15977	78359
575000	15971	81833
576000	16063	75483
577000	16186	90503
578000	16194	84573
579000	16478	90485
580000	16325	84795
581000	16340	87738
582000	16320	84620
583000	16388	87550
584000	16399	81535
585000	16465	88359
586000	16467	84493
587000	16376	97029
588000	16581	90942
589000	16398	94079
590000	16413	78462
591000	16436	81649
592000	16473	75389
593000	16481	84930
594000	16587	78753
595000	16597	85453
596000	16667	78861
597000	16661	82093
598000	16857	97870
599000	16779	91552
600000	16791	88366
601000	16929	91524
602000	16970	91684
603000	16988	99117
604000	18357	92250
605000	17029	91854
606000	17022	95082
607000	17087	85813
608000	17366	82956
609000	17208	95406
610000	17204	95408
611000	17305	95560
612000	17362	92256
613000	17496	92549
614000	17611	98846
615000	17573	92419
616000	17569	89174
617000	17592	92500
618000	17747	92540
619000	17658	102524
620000	17676	99231
621000	17711	99221
622000	17700	103055
623000	17777	94576
624000	18056	88666
625000	18065	92933
626000	17996	93030
627000	18022	93070
628000	18076	89742
629000	17979	94382
630000	22637	99836
631000	18572	97758
632000	18283	95014
633000	18313	97531
634000	18302	97324
635000	18206	99690
636000	18366	97708
637000	18670	97314
638000	20008	101244
639000	18376	90123
640000	20894	90970
641000	18500	109839
642000	18500	103310
643000	19212	115229
644000	18700	101391
645000	18710	104954
646000	18833	108339
647000	19319	110919
648000	18782	96831
649000	19864	105740
650000	19016	103395
651000	20379	115668
652000	19171	105042
653000	19869	114422
654000	19094	113580
655000	19146	113704
656000	19124	86324
657000	19350	95715
658000	19273	96041
659000	19860	98943
660000	19362	88550
661000	19527	97251
662000	19704	107677
663000	19854	107019
664000	23658	92645
665000	19559	103825
666000	19576	95747
667000	20591	115872
668000	19616	95816
669000	19523	103663
670000	19589	99819
671000	21543	106225
672000	19637	85397
673000	19695	99706
674000	19707	96107
675000	19871	103098
676000	19890	92618
677000	20025	96376
678000	20061	99972
679000	20084	108225
680000	20288	90930
681000	20110	96594
682000	20159	93100
683000	20237	114088
684000	20226	110541
685000	20371	107002
686000	20543	110660
687000	20287	115715
688000	20254	107097
689000	20286	100270
690000	20274	100272
691000	20309	103783
692000	20307	100308
693000	20330	97190
694000	20498	107505
695000	20550	108015
696000	20735	104240
697000	20799	100955
698000	20804	101056
699000	20865	107871
700000	20840	104618
701000	20859	101278
702000	20862	105262
703000	20899	119322
704000	20932	109620
705000	20968	113835
706000	21024	113549
707000	20996	119823
708000	21178	113659
709000	21417	109588
710000	21434	117950
711000	21460	121424
712000	21467	113862
713000	21498	109829
714000	21494	114160
715000	21471	121606
716000	21651	118076
717000	21761	114081
718000	22059	118084
719000	21896	118017
720000	21908	114361
721000	21950	107087
722000	21986	106925
723000	22065	106677
724000	22119	102714
725000	22085	104375
726000	22092	123223
727000	24476	128097
728000	21962	118674
729000	21978	128733
730000	22015	114601
731000	22200	132406
732000	22083	119367
733000	22120	123233
734000	22142	118863
735000	22316	123388
736000	22322	115404
737000	22322	132053
738000	22380	120169
739000	22450	124585
740000	22412	115676
741000	22566	119774
742000	22763	120075
743000	22958	124209
744000	22951	115806
745000	23031	124284
746000	22899	112490
747000	22965	132587
748000	23047	125518
749000	23004	134341
750000	22986	128320
751000	23162	132896
752000	23068	123995
753000	23320	137207
754000	23143	115752
755000	23337	124357
756000	23472	115652
757000	23480	120152
758000	23508	124366
759000	23619	129298
760000	23661	120141
761000	23678	128961
762000	23727	115962
763000	23695	128936
764000	23746	120241
765000	23869	129794
766000	23665	120919
767000	23682	124459
768000	23702	117611
769000	23756	142057
770000	23724	141935
771000	23760	133286
772000	25027	129026
773000	24134	130906
774000	23823	139700
775000	23968	135465
776000	24037	131223
777000	24080	135387
778000	24124	135415
779000	24162	140626
780000	24195	135480
781000	24599	144981
782000	24202	139862
783000	24220	135617
784000	24250	131636
785000	24138	140814
786000	24178	139970
787000	24204	113847
788000	24227	109512
789000	24278	109509
790000	24253	127060
791000	24287	122839
792000	24413	119008
793000	24469	122879
794000	24782	123050
795000	24761	123524
796000	24771	125094
797000	24793	125433
798000	24908	129866
799000	25012	125092
800000	24943	120376
801000	25094	135323
802000	25175	134566
803000	25471	125282
804000	25429	120867
805000	25314	121237
806000	25371	130077
807000	25351	125448
808000	25371	120632
809000	25558	125486
810000	25680	125356
811000	25706	153665
812000	26038	134859
813000	25836	139675
814000	26003	139927
815000	26047	144634
816000	26029	130510
817000	26065	144645
818000	26408	140198
819000	26071	149600
820000	26113	120966
821000	26159	125683
822000	26117	134908
823000	26258	139856
824000	26179	127009
825000	26093	135287
826000	26191	130628
827000	26202	144399
828000	26233	125857
829000	26448	130760
830000	26515	131510
831000	26551	135377
832000	26576	121554
833000	26785	145101
834000	26831	140196
835000	26881	149602
836000	26863	132442
837000	26921	131348
838000	26981	135840
839000	26958	140460
840000	26971	126730
841000	26979	136070
842000	27005	132338
843000	27020	152356
844000	26930	133401
845000	31501	141484
846000	27005	143158
847000	27039	142881
848000	27052	129981
849000	28942	151923
850000	31989	138125
851000	27294	147387
852000	27325	117808
853000	27601	119735
854000	27510	145397
855000	31149	143241
856000	27673	139833
857000	27634	138541
858000	27664	138762
859000	27682	148449
860000	27759	147971
861000	29619	139315
862000	27791	138743
863000	27847	138783
864000	27687	142574
865000	27801	143532
866000	27786	144508
867000	27815	148184
868000	27798	143538
869000	27827	129664
870000	27887	142796
871000	27891	139420
872000	27932	135716
873000	28254	134740
874000	28192	134827
875000	28174	153471
876000	28176	148777
877000	28201	139752
878000	28553	145117
879000	28670	144212
880000	28647	139725
881000	28694	144230
882000	28710	144296
883000	28520	148801
884000	29220	148369
885000	28593	125667
886000	28627	139657
887000	28629	139705
888000	28630	135762
889000	28641	135811
890000	29101	148874
891000	32031	166007
892000	28909	153854
893000	28967	143738
894000	29042	148946
895000	29048	149569
896000	29101	143375
897000	29834	175203
898000	29882	164833
899000	29948	175133
900000	30050	168403
901000	30046	170093
902000	30047	159464
903000	29822	164594
904000	29841	154003
905000	29837	171460
906000	29877	153953
907000	29825	179628
908000	29902	169538
909000	29893	169884
910000	29924	163645
911000	29972	164978
912000	30104	154435
913000	30072	174070
914000	30231	163497
915000	30233	179019
916000	31199	163342
917000	30332	169598
918000	30563	152358
919000	30518	157911
920000	30555	146884
921000	30408	158631
922000	30450	146951
923000	30270	163094
924000	30290	152407
925000	30280	158137
926000	30374	147792
927000	30422	152571
928000	30462	141684
929000	30532	163586
930000	30536	152679
931000	30777	163877
932000	31006	153004
933000	30781	167581
934000	30813	152332
935000	30758	156402
936000	30877	147530
937000	30883	160843
938000	30977	150096
939000	30995	183173
940000	31039	177265
941000	30977	181302
942000	30883	187997
943000	31076	171205
944000	31445	169747
945000	31585	178495
